Name,Region,Meal_Type,Diet_Type,Calories,Protein,Carbs,Fats
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,401,44,8,24
Vegetable Poha,North India,Breakfast,Weight Loss,201,5,39,3
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,392,35,27,22
Puttu with Kadala Curry,South India,Breakfast,Balanced,375,16,54,7
Bisi Bele Bath,South India,Lunch,Balanced,467,15,62,11
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,469,8,63,17
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,213,13,29,7
Thekua with Masala Chai,East India,Breakfast,Balanced,260,5,46,9
Thepla with Curd,West India,Breakfast,Balanced,323,10,45,13
Sprouts Chaat,North India,Breakfast,Weight Loss,169,8,26,2
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,213,6,40,1
South Indian Thali,South India,Lunch,Balanced,537,13,75,12
Dal Dhokli,West India,Lunch,Balanced,386,13,64,10
South Indian Thali,South India,Lunch,Balanced,449,14,83,12
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,388,11,58,10
Misal Pav with Butter,West India,Breakfast,Weight Gain,611,16,77,19
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,276,7,40,6
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,493,52,38,10
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,220,10,28,6
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,315,11,50,6
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,367,15,39,7
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,190,6,42,2
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,180,5,24,5
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,125,3,20,2
Sprouts Chaat,North India,Breakfast,Weight Loss,162,9,28,3
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,555,48,38,20
Kanda Poha,West India,Breakfast,Weight Loss,260,6,45,6
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,252,7,37,6
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,357,24,44,8
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,634,29,75,24
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,208,8,21,7
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,257,8,35,5
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,216,4,37,7
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,364,24,45,7
Vegetable Poha,North India,Breakfast,Weight Loss,228,4,40,4
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,247,7,32,11
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,343,15,45,8
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,450,55,34,11
Vegetable Dalma,East India,Lunch,Weight Loss,281,10,45,5
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,291,8,52,6
Curd Rice with Pickle,South India,Dinner,Balanced,377,10,54,8
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,252,7,43,4
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,327,16,32,12
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,388,27,29,18
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,468,39,28,12
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,475,43,52,13
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,298,8,40,7
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,221,8,37,6
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,263,3,38,8
Aamras with Puri,West India,Breakfast,Weight Gain,593,8,82,20
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,155,8,26,2
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,385,11,67,9
Curd Rice with Pickle,South India,Dinner,Balanced,354,9,58,7
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,768,46,72,31
Sprouted Matki Usal,West India,Breakfast,Weight Loss,197,10,27,3
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,139,3,26,2
Vegetable Upma,South India,Dinner,Weight Loss,233,4,31,6
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,138,7,26,2
Rajma Chawal,North India,Lunch,Balanced,449,14,60,9
Rice with Mutton Kosha,East India,Lunch,Weight Gain,666,41,75,30
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,409,53,10,10
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,118,3,22,2
Mutton Korma with Roti,North India,Dinner,Weight Gain,445,32,35,26
Egg Biryani,East India,Lunch,Weight Gain,643,25,69,21
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,250,8,42,6
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,532,20,72,22
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,194,12,16,7
Oats Pongal,South India,Breakfast,Weight Loss,240,6,35,5
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,373,33,24,20
Vegetable Dalma,East India,Lunch,Weight Loss,272,10,48,5
Moong Dal Chilla,North India,Breakfast,Weight Loss,211,10,29,5
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,377,27,1,18
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,404,32,46,4
Vegetable Daliya,Pan India,Dinner,Health & Wellness,222,7,42,5
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,455,52,10,23
Fish Curry with White Rice,South India,Lunch,Weight Gain,640,32,62,19
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,359,27,1,19
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,283,5,31,15
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,626,31,75,25
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,588,15,65,23
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,514,39,60,14
Dalma with Rice,East India,Lunch,Balanced,403,14,56,10
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,600,16,77,23
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,558,44,41,22
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,207,6,43,2
Lemon Rice with Curd,South India,Dinner,Balanced,402,7,57,10
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,221,1,48,1
Curd Rice with Pickle,South India,Dinner,Balanced,321,10,58,7
Bharli Vangi with Bhakri,West India,Dinner,Weight Loss,282,9,37,12
Crab Masala with Rice,South India,Dinner,Weight Gain,623,33,60,21
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,235,3,43,7
Malabar Parotta with Veg Kurma,South India,Dinner,Weight Gain,588,11,66,22
Paneer Lababdar with Naan,North India,Lunch,Weight Gain,516,21,75,21
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,551,22,61,17
Lentil Soup with Whole Wheat Bread,Pan India,Lunch,Health & Wellness,254,12,41,4
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,245,11,25,6
Mutton Biryani (Hyderabadi Style),West India,Dinner,Weight Gain,615,34,78,26
Khichdi with Ghee (Small),North India,Dinner,Weight Loss,305,9,46,7
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,458,16,67,11
Aamras with Puri,West India,Breakfast,Weight Gain,571,8,78,17
Batata Vada with Pav,West India,Breakfast,Weight Gain,525,10,69,21
Upma with Vegetables,North India,Breakfast,Weight Loss,208,6,32,4
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,241,9,36,6
Aloo Paratha with Curd and Butter,North India,Breakfast,Weight Gain,430,9,59,18
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,234,13,24,6
Vegetable Daliya,Pan India,Dinner,Health & Wellness,242,6,40,4
Fish Curry with White Rice,South India,Lunch,Weight Gain,566,31,57,17
Green Smoothie Spinach Banana Flaxseed,Pan India,Breakfast,Health & Wellness,199,5,34,4
Dal Fry with Jeera Rice,North India,Dinner,Balanced,390,12,60,10
Palak Soup with Multigrain Toast,Pan India,Lunch,Health & Wellness,188,7,27,6
Gujarati Thali,West India,Lunch,Weight Gain,631,19,102,27
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,554,19,78,22
Chicken Biryani,North India,Dinner,Weight Gain,683,36,70,23
Kadhi Pakora with Rice,North India,Dinner,Balanced,442,13,64,14
Sprouted Matki Usal,West India,Breakfast,Weight Loss,199,9,29,4
Moong Dal Khichdi,East India,Breakfast,Weight Loss,245,9,36,4
Bisi Bele Bath,South India,Lunch,Balanced,458,14,66,13
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,300,10,37,8
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,360,33,27,17
Dal Shorba with Roti,North India,Dinner,Weight Loss,224,10,30,5
South Indian Thali,South India,Lunch,Balanced,554,16,77,13
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,178,2,46,1
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,280,8,48,7
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,516,37,54,16
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,414,37,47,5
Sol Kadhi with Rice,West India,Dinner,Weight Loss,273,8,34,7
Mung Bean Salad with Olive Oil,Pan India,Lunch,Health & Wellness,238,11,25,6
Brown Rice with Rajma,North India,Lunch,Weight Loss,341,14,66,7
Rava Idli with Chutney,South India,Breakfast,Weight Gain,431,9,60,17
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,195,5,23,5
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,417,40,27,13
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,219,6,38,7
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,377,24,40,8
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,304,9,48,6
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,249,5,30,16
Aamti with Rice,West India,Lunch,Weight Loss,307,11,49,7
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,204,15,23,6
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,341,9,55,7
Curd Rice with Pickle,South India,Dinner,Balanced,352,8,61,7
Brown Rice with Rajma,North India,Lunch,Weight Loss,406,13,63,6
Cottage Cheese Salad with Seeds,Pan India,Dinner,Bodybuilding,340,30,11,19
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,111,2,20,2
Watermelon and Mint Juice,Pan India,Breakfast,Health & Wellness,92,1,19,1
Kootu with Brown Rice,South India,Lunch,Weight Loss,307,10,47,6
South Indian Thali,South India,Lunch,Balanced,457,13,77,12
Sol Kadhi with Rice,West India,Dinner,Weight Loss,251,8,34,7
Jowar Bhakri with Zunka,West India,Breakfast,Weight Loss,282,9,38,6
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,630,36,73,27
Sprouted Matki Usal,West India,Breakfast,Weight Loss,182,9,30,4
Herbal Tea with Fruit Salad,Pan India,Dinner,Health & Wellness,162,1,31,1
Stuffed Paratha with Full Fat Curd,North India,Breakfast,Weight Gain,517,14,65,18
Kadhi Pakora with Rice,North India,Dinner,Balanced,398,12,61,12
Prawn Malaikari with Rice,East India,Lunch,Weight Gain,716,29,71,24
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,187,11,14,7
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,332,12,55,8
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,332,12,52,10
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,689,29,61,23
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,279,8,37,6
Dal Fry with Jeera Rice,North India,Dinner,Balanced,380,11,53,8
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,239,7,32,5
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,463,16,61,12
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,418,46,9,25
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,670,36,69,26
Rava Idli with Chutney,South India,Breakfast,Weight Gain,441,10,54,14
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,314,11,49,6
6 Boiled Eggs (4 Whites 2 Whole),Pan India,Breakfast,Bodybuilding,327,26,1,18
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,536,46,10,26
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,461,38,25,14
Vegetable Stew with Brown Rice,East India,Dinner,Weight Loss,254,8,38,6
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,290,28,5,11
Vegetable Dalma,East India,Lunch,Weight Loss,322,11,43,6
Chicken Tikka with Quinoa,Pan India,Lunch,Bodybuilding,453,55,37,11
Rajma Chawal,North India,Lunch,Balanced,408,14,60,9
Gujarati Thali,West India,Lunch,Weight Gain,729,19,89,26
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,238,2,58,1
Vegetable Poha,North India,Breakfast,Weight Loss,221,5,34,4
Moong Dal Khichdi,East India,Breakfast,Weight Loss,244,10,42,4
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,381,13,40,8
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,239,3,53,1
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,237,6,32,7
Sattu Ka Paratha with Curd,East India,Breakfast,Balanced,310,11,49,10
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,444,31,24,21
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,281,26,5,13
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,238,5,37,7
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,357,30,27,19
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,386,12,65,9
Dalma with Rice,East India,Lunch,Balanced,442,12,60,10
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,200,7,21,6
Dal Shorba with Roti,North India,Dinner,Weight Loss,217,8,31,5
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,195,1,50,1
Nachni Dosa with Chutney,West India,Breakfast,Weight Loss,209,7,37,5
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,199,8,23,6
Stuffed Capsicum with Raita,North India,Dinner,Balanced,328,12,41,13
Idli with Sambar,South India,Dinner,Weight Loss,177,7,36,2
Oats Idli with Sambar,North India,Breakfast,Weight Loss,250,7,39,4
Vegetable Daliya,Pan India,Dinner,Health & Wellness,208,6,38,5
Fish Fry with Rice and Dal,East India,Dinner,Balanced,514,27,62,12
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,254,15,26,6
South Indian Thali,South India,Lunch,Balanced,558,13,68,11
Vegetable Upma,South India,Dinner,Weight Loss,212,5,31,6
Poha with Peanuts and Banana Shake,North India,Breakfast,Weight Gain,357,10,63,9
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,390,38,26,14
Grilled Vegetables with Raita,North India,Dinner,Weight Loss,207,7,22,7
Paneer Tikka Masala with Jeera Rice,North India,Dinner,Weight Gain,557,24,61,20
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,259,3,42,7
Sprouted Moong Salad with Lemon and Cucumber,Pan India,Lunch,Health & Wellness,148,8,26,1
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,510,14,68,20
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,351,20,37,8
Moong Dal Khichdi,East India,Breakfast,Weight Loss,239,8,38,5
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,267,9,42,8
Kanda Poha,West India,Breakfast,Weight Loss,279,5,47,5
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,664,31,66,25
Idli with Sambar,South India,Dinner,Weight Loss,186,7,40,2
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,347,11,51,7
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,420,38,49,4
Besan Chilla with Mint Chutney,North India,Breakfast,Weight Loss,238,13,26,5
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,345,19,38,8
Paneer Bhurji with Multigrain Toast,Pan India,Breakfast,Bodybuilding,370,26,25,15
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,369,20,38,9
Puttu with Kadala Curry,South India,Breakfast,Balanced,369,13,55,7
Moong Dal Chilla,North India,Breakfast,Weight Loss,237,12,33,5
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,464,12,61,20
Tuna Salad with Whole Wheat Bread,Pan India,Lunch,Bodybuilding,459,44,32,12
Warm Turmeric Milk with Light Khichdi,Pan India,Dinner,Health & Wellness,259,8,44,7
South Indian Thali,South India,Lunch,Balanced,539,16,80,12
Egg Bhurji 5 Eggs with Multigrain Toast,Pan India,Lunch,Bodybuilding,400,33,23,22
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,579,30,63,22
Sprouts Chaat,North India,Breakfast,Weight Loss,184,8,29,2
Lamb Vindaloo with Rice,West India,Dinner,Weight Gain,594,32,65,26
Upma with Vegetables,North India,Breakfast,Weight Loss,220,6,36,5
Bisi Bele Bath,South India,Lunch,Balanced,468,15,70,12
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,217,3,43,8
Ven Pongal with Ghee,South India,Breakfast,Weight Gain,519,12,58,22
Luchi with Alur Dom,East India,Breakfast,Weight Gain,461,8,58,21
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,266,8,45,7
Vegetable Poha,North India,Breakfast,Weight Loss,210,5,41,3
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,249,28,6,10
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,339,15,32,14
Grilled Chicken Breast with Broccoli,Pan India,Lunch,Bodybuilding,459,53,8,11
Quinoa Salad with Vegetables,Pan India,Lunch,Health & Wellness,279,9,39,7
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,319,13,53,6
Butter Naan with Dal Makhani,North India,Dinner,Weight Gain,550,14,78,21
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,413,38,45,5
Lemon Rice with Curd,South India,Dinner,Balanced,443,8,67,9
Moong Dal Chilla,North India,Breakfast,Weight Loss,222,12,27,5
South Indian Thali,South India,Lunch,Balanced,455,13,81,10
Stuffed Capsicum with Raita,North India,Dinner,Balanced,378,10,45,10
Sol Kadhi with Rice,West India,Dinner,Weight Loss,241,8,34,7
Rice with Fish Curry and Papadam,South India,Dinner,Weight Gain,520,31,65,19
Tandoori Paneer Tikka with Salad,North India,Dinner,Weight Loss,229,18,10,11
Soya Milk with Oats Porridge,Pan India,Breakfast,Bodybuilding,361,25,42,8
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,196,6,43,1
Paratha with Egg Bhurji,East India,Breakfast,Weight Gain,481,18,50,21
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,343,19,29,13
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,336,12,49,5
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,287,7,42,7
Luchi with Alur Dom,East India,Breakfast,Weight Gain,530,7,61,20
Chira Dahi with Jaggery,East India,Breakfast,Weight Loss,228,7,43,3
Mutton Rezala with Roti,East India,Dinner,Weight Gain,570,30,51,24
Lemon Rice with Curd,South India,Dinner,Balanced,370,7,68,10
Millet Sambar Rice,South India,Lunch,Weight Loss,345,13,54,7
Puttu with Kadala Curry,South India,Breakfast,Balanced,385,13,44,8
Chicken Omelette with Toast,Pan India,Breakfast,Bodybuilding,405,40,22,16
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,519,45,38,18
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,232,8,37,6
Brown Bread Sandwich with Chutney,North India,Breakfast,Weight Loss,237,8,37,5
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,363,43,15,15
Rice with Chole and Paneer Butter Masala,North India,Lunch,Weight Gain,648,21,80,22
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,217,3,42,7
Greek Yogurt with Nuts and Honey,Pan India,Breakfast,Health & Wellness,291,12,30,12
Stuffed Capsicum with Raita,North India,Dinner,Balanced,343,12,43,12
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,283,9,52,6
Overnight Oats with Berries,Pan India,Breakfast,Health & Wellness,246,8,38,7
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,197,5,34,6
Rajma Chawal,North India,Lunch,Balanced,489,17,63,10
Luchi with Alur Dom,East India,Breakfast,Weight Gain,472,7,67,24
Egg Curry with Rice,South India,Dinner,Weight Gain,574,30,62,18
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,294,9,52,6
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,345,37,14,14
Dal Fry with Steamed Rice (Small),North India,Lunch,Weight Loss,299,11,55,5
Sattu Sharbat with Toast,East India,Breakfast,Weight Loss,172,8,32,3
Appam with Vegetable Stew,South India,Breakfast,Weight Loss,233,4,44,8
Sprouted Matki Usal,West India,Breakfast,Weight Loss,185,9,28,3
Rava Idli with Chutney,South India,Breakfast,Weight Gain,378,9,59,16
Idli with Tomato Chutney,South India,Breakfast,Weight Loss,213,5,35,1
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,793,37,69,31
Kadhi Pakora with Rice,North India,Dinner,Balanced,372,11,65,13
Fish Recheado with Rice,West India,Dinner,Weight Gain,528,29,66,23
Puri Bhaji,North India,Breakfast,Weight Gain,424,9,62,22
Oats Idli with Sambar,North India,Breakfast,Weight Loss,268,8,37,4
Luchi with Alur Dom,East India,Breakfast,Weight Gain,487,7,60,21
Millet Sambar Rice,South India,Lunch,Weight Loss,327,11,57,6
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,430,49,9,23
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,472,40,62,16
Dalma with Rice,East India,Lunch,Balanced,453,14,58,11
Upma with Vegetables,North India,Breakfast,Weight Loss,200,6,33,4
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,530,42,38,18
Hyderabadi Chicken Biryani,South India,Lunch,Weight Gain,691,42,71,33
Luchi with Alur Dom,East India,Breakfast,Weight Gain,528,8,60,22
Palak Paneer with 1 Roti,North India,Lunch,Weight Loss,354,17,28,13
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,371,36,15,13
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,317,21,46,9
Mutton Keema with 2 Dry Chapatis,Pan India,Lunch,Bodybuilding,605,41,44,19
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,208,6,24,6
Tofu Stir Fry with Brown Rice,Pan India,Lunch,Health & Wellness,298,14,44,7
Idli with Sambar,South India,Dinner,Weight Loss,181,6,38,2
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,296,8,46,6
Fish Curry with White Rice,South India,Lunch,Weight Gain,562,34,61,17
Brown Rice with Rajma,North India,Lunch,Weight Loss,340,15,54,7
Apple with Peanut Butter on Rice Cakes,Pan India,Dinner,Health & Wellness,235,7,33,11
Aamras with Puri,West India,Breakfast,Weight Gain,611,8,88,19
Hilsa Fish Curry with White Rice,East India,Lunch,Weight Gain,579,29,61,19
Chicken Tikka Salad,Pan India,Dinner,Bodybuilding,351,41,13,13
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,141,4,24,1
Tomato Shorba with Roti,East India,Dinner,Weight Loss,206,6,30,5
Sprouted Matki Usal,West India,Breakfast,Weight Loss,203,10,25,3
Egg White Omelette with Vegetables,Pan India,Breakfast,Bodybuilding,289,25,5,13
Multigrain Roti with Dal Tadka,North India,Lunch,Weight Loss,336,13,43,7
Vegetable Poha,North India,Breakfast,Weight Loss,200,5,35,4
Sol Kadhi with Rice,West India,Dinner,Weight Loss,284,7,34,7
Idli with Sambar,South India,Dinner,Weight Loss,209,6,38,3
Vegetable Avial with Brown Rice,South India,Dinner,Weight Loss,276,7,44,8
Mixed Fruit Bowl Apple Papaya Banana,Pan India,Breakfast,Health & Wellness,210,1,44,1
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,372,32,43,5
Crab Masala with Rice,South India,Dinner,Weight Gain,578,31,64,19
Thalipeeth with Dahi,West India,Breakfast,Weight Loss,229,7,35,7
Roti with Mixed Veg Sabzi and Curd,North India,Lunch,Balanced,403,13,59,11
Tendli Bhaji with Brown Rice,West India,Lunch,Weight Loss,338,8,46,7
Millet Sambar Rice,South India,Lunch,Weight Loss,320,12,57,6
Vegetable Upma,South India,Dinner,Weight Loss,188,5,30,6
Steamed Vegetables Carrot Beans Broccoli,Pan India,Lunch,Health & Wellness,127,3,22,1
Kadhi Pakora with Rice,North India,Dinner,Balanced,426,10,54,13
Vegetable Poha,North India,Breakfast,Weight Loss,192,5,33,3
Roasted Makhana and Green Tea,Pan India,Dinner,Health & Wellness,112,2,18,2
Dal Fry with Jeera Rice,North India,Dinner,Balanced,396,12,54,9
Upma with Vegetables,North India,Breakfast,Weight Loss,210,6,31,5
Beef Roast with Steamed Vegetables,Pan India,Dinner,Bodybuilding,506,44,10,22
Dal Palak with Grilled Fish,Pan India,Dinner,Bodybuilding,386,36,29,14
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,225,5,35,7
Fish Curry Rohu with Quinoa,Pan India,Dinner,Bodybuilding,503,41,45,12
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,369,46,9,25
Dal Dhokli,West India,Lunch,Balanced,367,11,55,13
Aamti with Rice,West India,Lunch,Weight Loss,327,12,57,7
Mixed Vegetable Sabzi with Roti,North India,Lunch,Weight Loss,310,9,47,7
Clear Vegetable Soup with Tofu,Pan India,Dinner,Health & Wellness,198,10,13,7
Thepla with Curd,West India,Breakfast,Balanced,344,11,41,12
Brown Rice with Macher Jhol (small portion),East India,Lunch,Weight Loss,339,21,46,8
Jowar Bhakri with Varan Bhath,West India,Lunch,Weight Loss,327,12,49,6
Ragi Dosa with Coconut Chutney,South India,Breakfast,Weight Loss,196,5,33,7
Avocado on Millet Toast,Pan India,Breakfast,Health & Wellness,283,5,28,15
Whey Protein Shake with Oats and Banana,Pan India,Breakfast,Bodybuilding,422,37,42,4
Andhra Style Mutton Biryani,South India,Lunch,Weight Gain,622,36,77,27
Rice with Mutton Kosha,East India,Lunch,Weight Gain,703,33,78,27
Fish Recheado with Rice,West India,Dinner,Weight Gain,652,27,53,21
Aamti with Rice,West India,Lunch,Weight Loss,324,11,61,6
Fresh Coconut Water with 2 Bananas,Pan India,Breakfast,Health & Wellness,240,3,55,1
Soya Chunks Curry with Brown Rice,Pan India,Lunch,Bodybuilding,539,39,62,13
Lauki Soup and Sauteed Veggies,North India,Dinner,Weight Loss,202,5,27,5
Idli with Sambar,South India,Dinner,Weight Loss,188,6,38,3
Paneer Tikka 250g with Mint Chutney,Pan India,Dinner,Bodybuilding,373,40,10,26
